id	nom	type_service_local	code_insee_commune	site_internet	telephone	telecopie	adresse_courriel	formulaire_contact	complement1	complement2	numero_voie	service_distribution	code_postal	nom_commune
0041bcc7-48d3-42fd-92d4-990595e77fda	Représentation de l'État - Annexe de Saint-Barthélémy	prefecture	97701	http://saint-barth-saint-martin.pref.gouv.fr	+590 5 90 27 64 10	+590 5 90 27 71 65	prefecturesxm@saint-barth-saint-martin.gouv.fr				Rue Lubin-Brin - Gustavia		97133	Saint-Barthélémy
0084a8ff-6c9b-48da-8a7a-3e7f891e7525	Sous-préfecture - Pontoise	sous_pref	95500	http://www.val-doise.gouv.fr	01 34 20 95 95	01 30 38 25 89	prefecture@val-doise.gouv.fr				37 rue de la Coutellerie		95300	Pontoise
0126dc1d-50fa-4340-ba09-dbabfb23fb81	Préfecture - Paris et Île-de-France	prefecture	75115	https://www.prefectures-regions.gouv.fr/ile-de-france	01 82 52 40 00			http://www.prefectures-regions.gouv.fr/ile-de-france/Outils/Nous-contacter			5 rue Leblanc		75015	Paris
02f0cd6c-39a8-4804-abca-db83f1dbf3fb	Préfecture - Ariège	prefecture	09122	http://www.ariege.gouv.fr	05 61 02 10 00	05 61 02 74 82	prefecture@ariege.gouv.fr				2 rue de la Préfecture		09000	Foix
031f5a1d-d412-420a-ad48-61ca896d1ad6	Sous-préfecture - Belley	sous_pref	01034	http://www.ain.gouv.fr	04 50 41 81 57 	04 74 23 26 56	sp-belley@ain.gouv.fr				24 rue des Barons		01300	Belley
03ba0b47-7bd0-4e68-9a14-4125b9ae0484	Préfecture - Gironde	prefecture	33063	http://www.gironde.gouv.fr	05 56 90 60 60	05 56 90 60 67		http://www.gironde.gouv.fr/Contactez-nous			Rue Claude Bonnier		33000	Bordeaux
0430301e-223f-442a-9b14-ca32ac85a31d	Sous-préfecture - Abbeville	sous_pref	80001	http://www.somme.gouv.fr	03 22 20 13 13	03 22 20 13 20	sp-abbeville@somme.gouv.fr				19 rue des Minimes		80100	Abbeville
04306e8f-9b53-47b2-8b2d-b0489db0bb2e	Subdivision administrative - Province des Îles Loyauté 	sous_pref	98814	http://www.nouvelle-caledonie.gouv.fr	+687 45 50 45	+687 45 50 35							98820	Lifou
044f4ada-e551-426d-8c62-6d7b19f5d21a	Préfecture - Vienne	prefecture	86194	http://www.vienne.gouv.fr	05 49 55 70 00	05 49 88 25 34		http://www.vienne.gouv.fr/Contactez-nous			7 place Aristide-Briand	CS 30589	86021	Poitiers Cedex
047ea91f-e849-4ace-8970-87e92af5248b	Sous-préfecture - Vervins	sous_pref	02789	http://www.aisne.gouv.fr	03 60 09 80 82	03 23 98 30 76	sp-vervins@aisne.gouv.fr				Rue Raoul-de-Coucy		02140	Vervins
078819b3-261c-492b-9471-9aa6d4c1c59b	Sous-préfecture - Mortagne-au-Perche	sous_pref	61293	http://www.orne.pref.gouv.fr	02 33 80 61 61	02 33 85 20 85	sp-mortagne-au-perche@orne.gouv.fr				1 faubourg Saint-Éloi		61400	Mortagne-au-Perche
09d320c4-025a-483b-8905-5039fbf16ebe	Sous-préfecture - Saint-Paul	sous_pref	97415	http://www.reunion.pref.gouv.fr	+262 2 62 45 38 45	+262 2 62 45 53 41	spftstpaul.pref974@reunion.pref.gouv.fr				3 rue Evariste-de-Parny		97460	Saint-Paul
0b1992a9-b5f8-45bf-a883-baf9cb43276e	Sous-préfecture - Dreux	sous_pref	28134	http://www.eure-et-loir.gouv.fr	02 37 27 72 00	02 37 46 80 72					2-4 rue des Capucins		28100	Dreux
0d56064a-bf03-4ef4-a8b0-85d882fa4677	Préfecture - Hauts-de-Seine	prefecture	92050	http://www.hauts-de-seine.gouv.fr	01 40 97 20 00		prefecture@hauts-de-seine.gouv.fr	http://www.hauts-de-seine.gouv.fr/Contactez-nous	Centre administratif départemental		167 avenue Joliot-Curie		92100	Nanterre
0dd43e09-5ee4-45e8-b473-85486a94102f	Sous-préfecture - Calvi	sous_pref	2B050	http://www.haute-corse.gouv.fr	04 95 34 50 40	04 95 65 95 85	sp-calvi@haute-corse.gouv.fr	http://www.haute-corse.gouv.fr/contacts-r288.html			Place Porteuse d'eau		20260	Calvi
0e7fec4b-c12c-4555-82a7-dd75d5169af5	Sous-préfecture - Provins	sous_pref	77379	http://www.seine-et-marne.gouv.fr	01 60 58 57 77	01 60 58 57 70	sp-provins@seine-et-marne.gouv.fr				17 rue Sainte-Croix		77160	Provins
1045b157-8005-4eed-aba6-ac76d2862c40	Maison de l'Etat - Louhans	sous_pref	71263	http://www.saone-et-loire.gouv.fr	03 85 21 81 00			http://www.saone-et-loire.gouv.fr/contacts-r1753.html			11 rue des Bordes		71500	Louhans
106c2d6a-4f2b-4aa6-b08a-998e63790aab	Préfecture - Côtes-d'Armor	prefecture	22278	http://www.cotes-darmor.gouv.fr	02 96 62 44 22		prefecture@cotes-darmor.gouv.fr	http://www.cotes-darmor.gouv.fr/Contactez-nous			1 place du Général-de-Gaulle		22000	Saint-Brieuc
108df5e8-e7ed-45f5-9b1f-da4f1232750e	Sous-préfecture - Chalon-sur-Saône	sous_pref	71076	http://www.saone-et-loire.gouv.fr	03 85 21 81 00	03 85 42 55 62		http://www.saone-et-loire.gouv.fr/contacts-r1753.html			28 rue du Général Leclerc		71100	Chalon-sur-Saône
10d97f3a-54d2-4ab3-aee7-abacd0f1f86c	Préfecture de région - Corse	prefecture_region	2A004	http://prefectures-regions.gouv.fr/corse	04 95 11 12 13	04 95 11 10 28		http://prefectures-regions.gouv.fr/corse/Outils/Nous-contacter	Palais Lantivy		Cours Napoléon		20000	Ajaccio
13334c0a-716c-414f-b97c-208119cee41c	Sous-préfecture - Châteaudun	sous_pref	28088	http://www.eure-et-loir.gouv.fr	02 37 27 71 19		sp-chateaudun@eure-et-loir.gouv.fr	http://www.eure-et-loir.gouv.fr/Contactez-nous/Contact-general			25 rue Jean-Moulin		28200	Châteaudun
14732cd9-a9ed-4528-9666-b57ea3660ace	Préfecture - Creuse	prefecture	23096	http://www.creuse.gouv.fr	05 55 51 59 00 	05 55 52 48 61		http://www.creuse.gouv.fr/Contactez-nous			Place Louis-Lacrocq		23000	Guéret
